incumbent,party,votes,votes_percent,candidate_name,description,geography,level,precincts_reporting,slug,sort_order,race_name,scraped_datetime
,,3973511,0.6508,Yes,Constitutional Right to Reproductive Freedom,California,California,"100.0% (25,554 of 25,554) precincts reporting",proposition-1,45,Proposition 1: Constitutional Right to Reproductive Freedom,2022-11-11T04:26:17.227415-08:00
,,2132106,0.3492,No,Constitutional Right to Reproductive Freedom,California,California,"100.0% (25,554 of 25,554) precincts reporting",proposition-1,45,Proposition 1: Constitutional Right to Reproductive Freedom,2022-11-11T04:26:17.227415-08:00
,,1838149,0.3023,Yes,Sports Wagering on Tribal Lands,California,California,"100.0% (25,554 of 25,554) precincts reporting",proposition-26,46,Proposition 26: Sports Wagering on Tribal Lands,2022-11-11T04:26:17.227415-08:00
,,4243048,0.6977,No,Sports Wagering on Tribal Lands,California,California,"100.0% (25,554 of 25,554) precincts reporting",proposition-26,46,Proposition 26: Sports Wagering on Tribal Lands,2022-11-11T04:26:17.227415-08:00
,,1021250,0.1665,Yes,Online Sports Wagering Outside of Tribal Lands,California,California,"100.0% (25,554 of 25,554) precincts reporting",proposition-27,47,Proposition 27: Online Sports Wagering Outside of Tribal Lands,2022-11-11T04:26:17.227415-08:00
,,5114013,0.8335,No,Online Sports Wagering Outside of Tribal Lands,California,California,"100.0% (25,554 of 25,554) precincts reporting",proposition-27,47,Proposition 27: Online Sports Wagering Outside of Tribal Lands,2022-11-11T04:26:17.227415-08:00
,,3782567,0.6183,Yes,Public School Arts and Music Education Funding,California,California,"100.0% (25,554 of 25,554) precincts reporting",proposition-28,48,Proposition 28: Public School Arts and Music Education Funding,2022-11-11T04:26:17.227415-08:00
,,2334815,0.3817,No,Public School Arts and Music Education Funding,California,California,"100.0% (25,554 of 25,554) precincts reporting",proposition-28,48,Proposition 28: Public School Arts and Music Education Funding,2022-11-11T04:26:17.227415-08:00
,,1831242,0.3012,Yes,Regulates Kidney Dialysis Clinics,California,California,"100.0% (25,554 of 25,554) precincts reporting",proposition-29,49,Proposition 29: Regulates Kidney Dialysis Clinics,2022-11-11T04:26:17.227415-08:00
,,4249297,0.6988,No,Regulates Kidney Dialysis Clinics,California,California,"100.0% (25,554 of 25,554) precincts reporting",proposition-29,49,Proposition 29: Regulates Kidney Dialysis Clinics,2022-11-11T04:26:17.227415-08:00
,,2503505,0.4083,Yes,Tax to Fund ZEV/Wildfire Programs,California,California,"100.0% (25,554 of 25,554) precincts reporting",proposition-30,50,Proposition 30: Tax to Fund ZEV/Wildfire Programs,2022-11-11T04:26:17.227415-08:00
,,3628228,0.5917,No,Tax to Fund ZEV/Wildfire Programs,California,California,"100.0% (25,554 of 25,554) precincts reporting",proposition-30,50,Proposition 30: Tax to Fund ZEV/Wildfire Programs,2022-11-11T04:26:17.227415-08:00
,,3813200,0.6243,Yes,Prohibition on Sale of Certain Tobacco Products,California,California,"100.0% (25,554 of 25,554) precincts reporting",proposition-31,51,Proposition 31: Prohibition on Sale of Certain Tobacco Products,2022-11-11T04:26:17.227415-08:00
