incumbent,party,votes,votes_percent,candidate_name,description,geography,precincts_reporting,slug,race_name,scraped_datetime,updated_datetime,source
False,Non Partisan,153101,0.1151,ANTHONY LOPEZ,,,,assessor,ASSESSOR,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,667160,0.5015,JEFFREY PRANG,,,,assessor,ASSESSOR,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,210572,0.1583,MIKE CAMPBELL,,,,assessor,ASSESSOR,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,299364,0.2251,SANDY SUN,,,,assessor,ASSESSOR,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,14375,0.0654,BRIAN SMITH,,,,supervisor-1st-district,SUPERVISOR 1ST DISTRICT,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,15910,0.0724,DAVID E. ARGUDO,,,,supervisor-1st-district,SUPERVISOR 1ST DISTRICT,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,166858,0.7591,HILDA SOLIS,,,,supervisor-1st-district,SUPERVISOR 1ST DISTRICT,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,15723,0.0715,KEVIN DALTON,,,,supervisor-1st-district,SUPERVISOR 1ST DISTRICT,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,6935,0.0316,TAMMY SOLIS,,,,supervisor-1st-district,SUPERVISOR 1ST DISTRICT,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,105923,0.3108,BOB HERTZBERG,,Los Angeles County,,supervisor-3rd-district,"Supervisor, 3rd District",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,7743,0.0227,CRAIG A. BRILL,,Los Angeles County,,supervisor-3rd-district,"Supervisor, 3rd District",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,82852,0.2431,HENRY STERN,,Los Angeles County,,supervisor-3rd-district,"Supervisor, 3rd District",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,27382,0.0804,JEFFI GIRGENTI,,Los Angeles County,,supervisor-3rd-district,"Supervisor, 3rd District",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,94528,0.2774,LINDSEY HORVATH,,Los Angeles County,,supervisor-3rd-district,"Supervisor, 3rd District",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,22352,0.0656,ROXANNE BECKFORD HOGE,,Los Angeles County,,supervisor-3rd-district,"Supervisor, 3rd District",2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,965,0.3008,ALICIA ROMERO,,,,bell-city-general-municipal-election-member-of-the-city-council,BELL CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,1310,0.4084,ANA MARIA QUINTANA,,,,bell-city-general-municipal-election-member-of-the-city-council,BELL CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,250,0.0779,MARCOS A. OLIVA,,,,bell-city-general-municipal-election-member-of-the-city-council,BELL CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,683,0.2129,NESTOR ENRIQUE VALENCIA,,,,bell-city-general-municipal-election-member-of-the-city-council,BELL CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,6405,0.8151,YES,,,,beverly-hills-city-general-municipal-election-measure-tl,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION - MEASURE TL,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,1453,0.1849,NO,,,,beverly-hills-city-general-municipal-election-measure-tl,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION - MEASURE TL,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,619,0.0938,GABRIELLE PANTERA-ROWE,,,,beverly-hills-city-general-municipal-election-city-treasurer,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION City Treasurer,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,4100,0.6215,HOWARD S. FISHER,,,,beverly-hills-city-general-municipal-election-city-treasurer,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION City Treasurer,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,1878,0.2847,JAKE MANASTER,,,,beverly-hills-city-general-municipal-election-city-treasurer,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION City Treasurer,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,351,0.0183,"AKSHAT ""AB"" BHATIA",,,,beverly-hills-city-general-municipal-election-member-of-the-city-council,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,2476,0.1291,ANDY LICHT,,,,beverly-hills-city-general-municipal-election-member-of-the-city-council,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,834,0.0435,DARIAN BOJEAUX,,,,beverly-hills-city-general-municipal-election-member-of-the-city-council,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,2634,0.1373,JOHN A. MIRISCH,,,,beverly-hills-city-general-municipal-election-member-of-the-city-council,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,405,0.0211,KEVIN KUGLEY,,,,beverly-hills-city-general-municipal-election-member-of-the-city-council,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,3571,0.1862,LESTER FRIEDMAN,,,,beverly-hills-city-general-municipal-election-member-of-the-city-council,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,2560,0.1335,ROBERT (BOB) WUNDERLICH,,,,beverly-hills-city-general-municipal-election-member-of-the-city-council,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,346,0.018,ROBIN ROWE,,,,beverly-hills-city-general-municipal-election-member-of-the-city-council,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,3565,0.1859,SHARONA NAZARIAN,,,,beverly-hills-city-general-municipal-election-member-of-the-city-council,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,512,0.0267,SHIVA GORDON BAGHERI,,,,beverly-hills-city-general-municipal-election-member-of-the-city-council,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
False,Non Partisan,1924,0.1003,VERA MARKOWITZ,,,,beverly-hills-city-general-municipal-election-member-of-the-city-council,BEVERLY HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,2022-10-25T09:34:09.352288-07:00,2022-07-01T11:38:48.247,los_angeles_county
