raw_name,include,clean_geography,clean_name,clean_description,incumbent
Attorney General,Yes,California,Attorney General,,
Board of Equalization District 1,No,Board of Equalization,,,
Board of Equalization District 2,No,Board of Equalization,,,
Board of Equalization District 3,No,Board of Equalization,,,
Board of Equalization District 4,No,Board of Equalization,,,
Controller,Yes,California,Controller,,
Governor,Yes,California,Governor,,
Insurance Commissioner,Yes,California,Insurance Commissioner,,
Lieutenant Governor,Yes,California,Lieutenant Governor,,
Proposition 01: Constitutional Right to Reproductive Freedom,Yes,California,Proposition 1,Constitutional Right to Reproductive Freedom,
Proposition 26: Sports Wagering on Tribal Lands,Yes,California,Proposition 26,Sports Wagering on Tribal Lands,
Proposition 27: Online Sports Wagering Outside of Tribal Lands,Yes,California,Proposition 27,Online Sports Wagering Outside of Tribal Lands,
Proposition 28: Public School Arts and Music Education Funding,Yes,California,Proposition 28,Public School Arts and Music Education Funding,
Proposition 29: Regulates Kidney Dialysis Clinics,Yes,California,Proposition 29,Regulates Kidney Dialysis Clinics,
Proposition 30: Tax to Fund ZEV/Wildfire Programs,Yes,California,Proposition 30,Tax to Fund ZEV/Wildfire Programs,
Proposition 31: Prohibition on Sale of Certain Tobacco Products,Yes,California,Proposition 31,Prohibition on Sale of Certain Tobacco Products,
Retain Supreme Court Justice Goodwin Liu,Yes,California,Retain Supreme Court Justice Goodwin Liu,,
Retain Supreme Court Justice Joshua P. Groban,Yes,California,Retain Supreme Court Justice Joshua P. Groban,,
Retain Supreme Court Justice Martin J. Jenkins,Yes,California,Retain Supreme Court Justice Martin J. Jenkins,,
Retain Supreme Court Justice Patricia Guerrero,Yes,California,Retain Supreme Court Justice Patricia Guerrero,,
Secretary of State,Yes,California,Secretary of State,,
State Assembly District 1,No,State Assembly,,,
State Assembly District 10,No,State Assembly,,,
State Assembly District 11,No,State Assembly,,,
State Assembly District 12,No,State Assembly,,,
State Assembly District 13,No,State Assembly,,,
State Assembly District 14,No,State Assembly,,,
State Assembly District 15,No,State Assembly,,,
State Assembly District 16,No,State Assembly,,,
State Assembly District 17,No,State Assembly,,,
State Assembly District 18,No,State Assembly,,,
State Assembly District 19,No,State Assembly,,,
State Assembly District 2,No,State Assembly,,,
State Assembly District 20,No,State Assembly,,,
State Assembly District 21,No,State Assembly,,,
State Assembly District 22,No,State Assembly,,,
State Assembly District 23,No,State Assembly,,,
State Assembly District 24,No,State Assembly,,,
State Assembly District 25,No,State Assembly,,,
State Assembly District 26,No,State Assembly,,,
State Assembly District 27,No,State Assembly,,,
