raw_name,pdf_name,include,clean_geography,clean_level,clean_name,clean_description,sort_order,incumbent
SUPERINTENDENT OF PUBLIC INSTRUCTION,SUPERINTENDENT OF PUBLIC INSTRUCTION,No,California,California,Superintendent of Public Instruction,,,TONY K. THURMOND
"LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 11th District","LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 11th District",Yes,Los Angeles,Los Angeles,"City Council, 11th District",,3,
"LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 13th District","LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 13th District",Yes,Los Angeles,Los Angeles,"City Council, 13th District",,4,MITCH O'FARRELL
"LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 15th District","LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 15th District",Yes,Los Angeles,Los Angeles,"City Council, 15th District",,5,
"LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District","LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes,Los Angeles,Los Angeles,"City Council, 5th District",,2,
LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Controller,LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Controller,Yes,Los Angeles,Los Angeles,LA Controller,,7,
LOS ANGELES CITY GENERAL MUNICIPAL ELECTION City Attorney,LOS ANGELES CITY GENERAL MUNICIPAL ELECTION City Attorney,Yes,Los Angeles,Los Angeles,LA City Attorney,,6,
"LOS ANGELES UNIFIED SCHOOL DISTRICT Member of the Board of Education, District 2","LOS ANGELES UNIFIED SCHOOL DISTRICT Member of the Board of Education, District 002",Yes,Los Angeles Unified School District,Los Angeles,"LAUSD Board of Education, District 2",,8,
"LOS ANGELES UNIFIED SCHOOL DISTRICT Member of the Board of Education, District 6","LOS ANGELES UNIFIED SCHOOL DISTRICT Member of the Board of Education, District 006",Yes,Los Angeles Unified School District,Los Angeles,"LAUSD Board of Education, District 6",,9,
LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Mayor,LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Mayor,Yes,Los Angeles,Los Angeles,Mayor,,1,
LOS ANGELES COMMUNITY COLLEGE DISTRICT SPECIAL ELECTION - MEASURE LA,LOS ANGELES COMMUNITY COLLEGE DISTRICT MEASURE LA,Yes,Los Angeles,Los Angeles,Measure LA: Authorize bonds,Authorize bonds,14,
LOS ANGELES CITY GENERAL MUNICIPAL ELECTION - MEASURE LH,LOS ANGELES CITY INITIATIVE ORDINANCE ULA,Yes,Los Angeles,Los Angeles,Measure LH: Affordable housing,Affordable housing,15,
LOS ANGELES CITY GENERAL MUNICIPAL ELECTION - MEASURE SP,LOS ANGELES CITY PROPOSITION LH,Yes,Los Angeles,Los Angeles,Measure SP: Park improvements,Park improvements,16,
LOS ANGELES CITY GENERAL MUNICIPAL ELECTION - MEASURE ULA,LOS ANGELES CITY PROPOSITION SP,Yes,Los Angeles,Los Angeles,Measure ULA: Mansion tax,Mansion tax,17,
"LOS ANGELES COMMUNITY COLLEGE DISTRICT Member of the Board of Trustees, Seat 2","LOS ANGELES COMMUNITY COLLEGE DISTRICT Member of the Board of Trustees, Seat 002",Yes,Los Angeles Community College District,Los Angeles,"LA Community College District Member of the Board of Trustees, Seat 2",,10,STEVEN VERES
"LOS ANGELES COMMUNITY COLLEGE DISTRICT Member of the Board of Trustees, Seat 4","LOS ANGELES COMMUNITY COLLEGE DISTRICT Member of the Board of Trustees, Seat 004",Yes,Los Angeles Community College District,Los Angeles,"LA Community College District Member of the Board of Trustees, Seat 4",,11,ERNEST H. MORENO
"LOS ANGELES COMMUNITY COLLEGE DISTRICT Member of the Board of Trustees, Seat 6","LOS ANGELES COMMUNITY COLLEGE DISTRICT Member of the Board of Trustees, Seat 006",Yes,Los Angeles Community College District,Los Angeles,"LA Community College District Member of the Board of Trustees, Seat 6",,12,GABRIEL BUELNA
"LOS ANGELES COMMUNITY COLLEGE DISTRICT SPECIAL ELECTION Member of the Board of Trustees, Seat 7 (Unexpired term ending December 13, 2024)","LOS ANGELES COMMUNITY COLLEGE DISTRICT SPECIAL ELECTION Member of the Board of Trustees, Seat 007 (Unexpired term ending December 13, 2024)",Yes,Los Angeles Community College District,Los Angeles,"LA Community College District Member of the Board of Trustees, Seat 7","Unexpired term ending December 13, 2024",13,KELSEY IINO
"ANTELOPE VALLEY-EAST KERN WATER AGENCY Member, Board of Directors, Division 3","ANTELOPE VALLEY-EAST KERN WATER AGENCY Member, Board of Directors, Division 003",Yes,Antelope Valley-East Kern Water Agency,Los Angeles County,"Antelope Valley-East Kern Water Agency Board of Directors, Division 3",,12,FRANK S. DONATO
"CENTRAL BASIN MUNICIPAL WATER DISTRICT Member, Board of Directors, Division 3","CENTRAL BASIN MUNICIPAL WATER DISTRICT Member, Board of Directors, Division 003",Yes,Central Basin Municipal Water District,Los Angeles County,"Central Basin Municipal Water District Board of Directors, Division 3",,13,ARTURO CHACON
"CRESCENTA VALLEY WATER DISTRICT Member, Board of Directors","CRESCENTA VALLEY WATER DISTRICT Member, Board of Directors",Yes,Crescenta Valley Water District,Los Angeles County,Crescenta Valley Water District Board of Directors,,14,"JAMES BODNAR,KERRY ERICKSON"
"LAS VIRGENES MUNICIPAL WATER DISTRICT Member, Board of Directors, Division 3","LAS VIRGENES MUNICIPAL WATER DISTRICT Member, Board of Directors, Division 003",Yes,Las Virgenes Municipal Water District,Los Angeles County,"Las Virgenes Municipal Water District Board of Directors, Division 3",,15,LEE RENGER
COUNTY MEASURE A,COUNTY MEASURE A,Yes,Los Angeles County,Los Angeles County,Measure A: Authority to remove elected sheriff for cause,Authority to remove elected sheriff for cause,9,
